Date,RELIANCE_Open,RELIANCE_High,RELIANCE_Low,RELIANCE_Close,RELIANCE_Volume,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Volume,INFY_Open,INFY_High,INFY_Low,INFY_Close,INFY_Volume,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_Volume
2021-09-16,1078.6465641491313,1103.647571826163,1072.0565884901453,1099.775146484375,13448882,3432.704441110121,3477.9060835598534,3399.600328363803,3409.383056640625,2946666,1493.8920892094495,1497.4195705979105,1473.2064909534074,1482.613037109375,3246568,719.5112913673174,731.9340258288291,718.8328610372279,729.8986206054688,10260550,17539.19921875,17644.599609375,17510.44921875,17629.5,503300.0
2021-09-17,1107.8371172912175,1112.2983612101125,1075.9516645338,1082.7227783203125,34882133,3423.9688793978444,3445.805415618494,3323.520812782857,3343.4794921875,6477148,1478.0403062981004,1496.3307284738578,1467.1095590889208,1473.0758056640625,7454864,734.133070294954,743.4910444223593,729.5476401259087,740.2859497070312,20498102,17709.650390625,17792.94921875,17537.650390625,17585.150390625,508300.0
2021-09-20,1074.3666078022443,1095.3140549772365,1073.415512979037,1084.444091796875,11779819,3327.01474032147,3381.1693514792364,3326.010344929612,3339.679931640625,2002008,1467.5886724736702,1487.3597058300793,1461.4482737789863,1470.0709228515625,5660743,731.7935977510607,740.0753822447209,728.9862054323227,729.851806640625,8781610,17443.849609375,17622.75,17361.80078125,17396.900390625,339100.0
2021-09-21,1089.2676895218028,1094.5215333838828,1079.7563812162018,1089.1318359375,9915736,3369.8148354860814,3381.650282754764,3338.064421190229,3374.138427734375,1568129,1480.6531353271757,1503.951647897765,1467.2837297515794,1496.7225341796875,4672222,730.8578619198661,733.9694000920663,715.3937850806404,726.1554565429688,14774996,17450.5,17578.349609375,17326.099609375,17562.0,363600.0
2021-09-22,1090.6263219107966,1106.025455452025,1086.210362198153,1100.8170166015625,10995912,3373.7450058049103,3403.748493291431,3364.9666751791547,3373.439208984375,1744067,1495.4600008034217,1514.5343226018194,1492.0197014541698,1495.3729248046875,4553892,724.7750838701154,725.3131787966195,715.8850085999203,717.6162109375,10582202,17580.900390625,17610.44921875,17524.0,17546.650390625,295200.0
2021-09-23,1108.4711801776828,1130.9358947742098,1107.6106545484265,1127.72021484375,15748397,3380.295721069975,3388.1568739096724,3349.7245711378177,3379.640625,2003869,1508.5243325905415,1519.8469748097546,1499.0307113119939,1517.713134765625,3826090,721.4998486172622,735.5368106526174,721.4998486172622,734.6010131835938,13664304,17670.849609375,17843.900390625,17646.55078125,17822.94921875,320500.0
2021-09-24,1133.9026086017536,1134.7631343059459,1119.613065939266,1124.459228515625,15192163,3397.7650831549404,3445.281301332481,3367.1939320211554,3381.431396484375,2320754,1531.1697244858785,1557.2989006716446,1526.3357843635558,1536.264892578125,8280446,738.812081199107,752.3577263390091,736.940486313232,749.3632202148438,20806702,17897.44921875,17947.650390625,17819.400390625,17853.19921875,360100.0
2021-09-27,1126.4068411721403,1145.8370159244848,1121.1077134942575,1143.3685302734375,15373834,3406.499519252397,3409.9933649131685,3321.686330538198,3351.427734375,1673362,1540.5327360352849,1540.7504791781873,1496.4179540192567,1499.074462890625,5045337,755.9838820536164,765.2482988576648,752.3810850278968,760.3821411132812,16415462,17932.19921875,17943.5,17802.900390625,17855.099609375,295700.0
2021-09-28,1147.6939414575027,1161.689135216267,1138.092065214608,1154.0574951171875,18035258,3362.8272236426765,3362.8272236426765,3276.5728890102832,3300.9423828125,2253075,1489.3628929542976,1489.3628929542976,1458.8788571335956,1469.4176025390625,6557197,763.6107312729913,763.6107312729913,740.215794653108,755.6798706054688,12773790,17906.44921875,17912.849609375,17576.099609375,17748.599609375,398000.0
2021-09-29,1163.9991145771864,1163.9991145771864,1141.3758992926414,1144.90869140625,9719875,3284.0403846948934,3324.3942608183484,3251.1544333308298,3312.078369140625,2489161,1445.1611060324121,1481.872617800693,1441.4594729447897,1473.9031982421875,7792548,747.2342683926307,751.7260847567792,741.6896798907969,745.7603759765625,16263036,17657.94921875,17781.75,17608.150390625,17711.30078125,562200.0
